FID,objectid,id,name,road_front,suburb,se_area_sh,se_length_,On_Off,Details,GlobalID
76,54,1,Wrights Hill,no,Karori,0,0,Off leash,Off leash under control of owner,9b8639a1-2a87-4c34-a743-668c06c95ae7
77,55,1,Maupuia Walkway (Old Prison Rd),yes,Maupuia,0,0,Off leash,Off leash under control of owner,d703a145-3fae-4337-8bfd-621ee3079341
78,56,1,Karori Park,no,Karori,0,0,Off leash,Off leash under control of owner,f3d7f497-bc8c-4902-a05a-c1bb32f04a18
79,57,1,Kaiwharawhara Park,no,Kaiwharawhara,0,0,Restrictions,1 November to 31 January only. Prohibited the rest of the year.,5a5eb39b-ac2c-4303-91de-767489843569
80,58,1,Duncan Park,no,Tawa,0,0,Off leash,Off leash under control of owner,63691488-5f9c-44a3-a3d7-029c18d28cbf
81,59,1,Cliff Gaskin Reserve,yes,Makara,0,0,Off leash,Off leash under control of owner,6b23beeb-bf14-4cd4-8bad-8a137358a10a
82,60,1,Ataturk Memorial,no,Strathmore Park,0,0,Off leash,Off leash under control of owner,3aba64b5-a2ce-4eb9-adcb-5dcb0f0dbf4d
83,61,1,Seton Nossiter Park,no,Grenada Village,0,0,Off leash,Off leash under control of owner,6305407f-8d7f-4dc0-a5be-69b9f0055534
84,63,1,Trelissick Park,yes,Ngaio,0,0,Off leash,Off leash under control of owner,223932ac-16c5-40ce-991d-ac68bc30c51b
85,64,1,Owen St Park,yes,Newtown,0,0,Off leash,Off leash under control of owner,ba4530df-7efb-4712-91b4-3e65263e50d5
86,65,1,Liardet and Balfour Street Corner,yes,Berhampore,0,0,Off leash,Off leash under control of owner,90c68be1-7a4c-4e63-b61e-244fec042d1a
87,66,1,Tawa Tawa Reserve,yes,Owhiro Bay,0,0,Off leash,Off leash under control of owner,1e4074db-2d29-494f-82bd-f133532e4b6b
88,67,1,Te Ahumairangi Slopes,no,Thorndon,0,0,Off leash,Off leash under control of owner,d2bdd80c-2f64-4006-962d-c140e9c07f1f
89,69,1,MacAlister Park,no,Berhampore,0,0,Off leash,Off leash under control of owner,4de7f27e-cb6c-4efa-9ea9-4af9feab295b
90,70,1,Monaghan Rd Reserve,yes,Karori,0,0,Off leash,Off leash under control of owner,aa9b10de-538e-4cb4-bb96-c7870f1747a0
91,71,1,Meekswood Reserve,yes,Johnsonville,0,0,Off leash,Off leash under control of owner,e0c8df12-6c06-4096-b636-90a48ea380b6
92,72,1,Cummings Park,no,Ngaio,0,0,Off leash,Off leash under control of owner,ce920b30-eb14-4b8e-bdf9-03139f58d760
93,73,1,Churton Park,yes,Churton Park,0,0,Off leash,Off leash under control of owner,3b7c71a3-54c9-453c-8c41-769df13bb1a8
94,75,1,Tukanae St Reserve,yes,Strathmore Park,0,0,Off leash,Off leash under control of owner,8857f4bc-dc03-4eac-811b-abcc2379dbd5
95,76,1,Kowhai Park,no,Brooklyn,0,0,Off leash,Off leash under control of owner,a8c817e0-305b-4e9c-8aca-5261731f6d60
96,77,1,Ellice St Quarry,yes,Mt Victoria,0,0,Off leash,Off leash under control of owner,77cc35e8-32b0-469b-91b7-1696b25519c1
97,78,1,Hataitai Park,yes,Hataitai,0,0,Off leash,Off leash under control of owner,10029f63-7592-40d2-b56e-3b515cc50866
98,79,1,Mt Albert Park,yes,Berhampore,0,0,Off leash,Off leash under control of owner,f9fa4ae1-0165-4a51-8a68-d656e8fea904
99,80,1,Sinclair Park,yes,Houghton Bay,0,0,Off leash,Off leash under control of owner,af90d456-d25a-4cf5-a199-b578592afd21
100,81,1,Bann St,yes,Southgate,0,0,Off leash,Off leash under control of owner,5f060972-5c72-44cc-91c0-c1a517dac2a6
101,82,1,Reef St,yes,Island Bay,0,0,Off leash,Off leash under control of owner,7f07d71f-778f-4cdf-b97c-eaa13464fea9
102,83,1,Silverstream Road Reserve,yes,Ngaio,0,0,Off leash,Off leash under control of owner,d662efc0-5b85-4f90-b4c3-169df14ce627
103,84,1,Charles Plimmer Park,no,Mt Victoria,0,0,Off leash,Off leash under control of owner,4afa51b6-75ef-4c3d-a665-9f58df016dcf
104,85,1,Izard Park,yes,Wilton,0,0,Off leash,Off leash under control of owner,ce05e672-1dd8-447b-a157-4b8dcb4ecdba
105,86,1,Grasslees Reserve,yes,Tawa,0,0,Off leash,Off leash under control of owner,275da7e4-fc05-4625-9665-bd0323cf3128
